building_1,location_1,location_2,building_2,assignment
1001,2005,3005,4001,1.0
1001,2005,3005,4002,1.0
1001,2005,3005,4003,1.0
1001,2005,3005,4004,1.0
1001,2005,3005,4005,1.0
1001,2005,3005,4006,1.0
1001,2005,3005,4007,1.0
1001,2005,3005,4008,1.0
1001,2005,3005,4009,1.0
1001,2005,3005,4010,1.0
1001,2005,3005,4011,1.0
1001,2005,3005,4012,1.0
1001,2005,3005,4013,1.0
1001,2005,3005,4014,1.0
1001,2005,3005,4015,1.0
1001,2005,3005,4016,1.0
1001,2005,3005,4017,1.0
1001,2005,3005,4018,1.0
1001,2005,3005,4019,1.0
1001,2005,3005,4020,1.0
1002,2005,3005,4001,1.0
1002,2005,3005,4002,1.0
1002,2005,3005,4003,1.0
1002,2005,3005,4004,1.0
1002,2005,3005,4005,1.0
1002,2005,3005,4006,1.0
1002,2005,3005,4007,1.0
1002,2005,3005,4008,1.0
1002,2005,3005,4009,1.0
1002,2005,3005,4010,1.0
1002,2005,3005,4011,1.0
1002,2005,3005,4012,1.0
1002,2005,3005,4013,1.0
1002,2005,3005,4014,1.0
1002,2005,3005,4015,1.0
1002,2005,3005,4016,1.0
1002,2005,3005,4017,1.0
1002,2005,3005,4018,1.0
1002,2005,3005,4019,1.0
1002,2005,3005,4020,1.0
1003,2005,3005,4001,1.0
1003,2005,3005,4002,1.0
1003,2005,3005,4003,1.0
1003,2005,3005,4004,1.0
1003,2005,3005,4005,1.0
1003,2005,3005,4006,1.0
1003,2005,3005,4007,1.0
1003,2005,3005,4008,1.0
1003,2005,3005,4009,1.0
1003,2005,3005,4010,1.0
1003,2005,3005,4011,1.0
1003,2005,3005,4012,1.0
1003,2005,3005,4013,1.0
1003,2005,3005,4014,1.0
1003,2005,3005,4015,1.0
1003,2005,3005,4016,1.0
1003,2005,3005,4017,1.0
1003,2005,3005,4018,1.0
1003,2005,3005,4019,1.0
1003,2005,3005,4020,1.0
1004,2005,3005,4001,1.0
1004,2005,3005,4002,1.0
1004,2005,3005,4003,1.0
1004,2005,3005,4004,1.0
1004,2005,3005,4005,1.0
1004,2005,3005,4006,1.0
1004,2005,3005,4007,1.0
1004,2005,3005,4008,1.0
1004,2005,3005,4009,1.0
1004,2005,3005,4010,1.0
1004,2005,3005,4011,1.0
1004,2005,3005,4012,1.0
1004,2005,3005,4013,1.0
1004,2005,3005,4014,1.0
1004,2005,3005,4015,1.0
1004,2005,3005,4016,1.0
1004,2005,3005,4017,1.0
1004,2005,3005,4018,1.0
1004,2005,3005,4019,1.0
1004,2005,3005,4020,1.0
1005,2005,3005,4001,1.0
1005,2005,3005,4002,1.0
1005,2005,3005,4003,1.0
1005,2005,3005,4004,1.0
1005,2005,3005,4005,1.0
