building_1,location_1,assignment
1001,2031,1.0
1002,2031,1.0
1003,2031,1.0
1004,2031,1.0
1005,2031,1.0
1006,2031,1.0
1007,2031,1.0
1008,2031,1.0
1009,2031,1.0
1010,2031,1.0
1011,2031,1.0
1012,2031,1.0
1013,2031,1.0
1014,2031,1.0
1015,2031,1.0
1016,2031,1.0
1017,2031,1.0
1018,2031,1.0
1019,2031,1.0
1020,2031,1.0
1021,2031,1.0
1022,2031,1.0
1023,2031,1.0
1024,2031,1.0
1025,2031,1.0
1026,2031,1.0
1027,2031,1.0
1028,2031,1.0
1029,2031,1.0
1030,2031,1.0
1031,2031,1.0
1032,2031,1.0
1033,2031,1.0
1034,2031,1.0
1035,2031,1.0
1036,2031,1.0
1037,2031,1.0
1038,2031,1.0
1039,2031,1.0
1040,2031,1.0
1041,2031,1.0
1042,2031,1.0
1043,2031,1.0
1044,2031,1.0
1045,2031,1.0
1046,2031,1.0
1047,2031,1.0
1048,2031,1.0
1049,2031,1.0
1050,2031,1.0
1051,2031,1.0
1052,2031,1.0
1053,2031,1.0
1054,2031,1.0
1055,2031,1.0
1056,2031,1.0
1057,2031,1.0
1058,2031,1.0
1059,2031,1.0
1060,2031,1.0
1061,2031,1.0
1062,2031,1.0
1063,2031,1.0
1064,2031,1.0
1065,2031,1.0
1066,2031,1.0
1067,2031,1.0
1068,2031,1.0
1069,2031,1.0
1070,2031,1.0
