building_2,location_2,assignment
4001,3031,1.0
4002,3031,1.0
4003,3031,1.0
4004,3031,1.0
4005,3031,1.0
4006,3031,1.0
4007,3031,1.0
4008,3031,1.0
4009,3031,1.0
4010,3031,1.0
4011,3031,1.0
4012,3031,1.0
4013,3031,1.0
4014,3031,1.0
4015,3031,1.0
4016,3031,1.0
4017,3031,1.0
4018,3031,1.0
4019,3031,1.0
4020,3031,1.0
4021,3031,1.0
4022,3031,1.0
4023,3031,1.0
4024,3031,1.0
4025,3031,1.0
4026,3031,1.0
4027,3031,1.0
4028,3031,1.0
4029,3031,1.0
4030,3031,1.0
4031,3031,1.0
4032,3031,1.0
4033,3031,1.0
4034,3031,1.0
4035,3031,1.0
4036,3031,1.0
4037,3031,1.0
4038,3031,1.0
4039,3031,1.0
4040,3031,1.0
4041,3031,1.0
4042,3031,1.0
4043,3031,1.0
4044,3031,1.0
4045,3031,1.0
4046,3031,1.0
4047,3031,1.0
4048,3031,1.0
4049,3031,1.0
4050,3031,1.0
4051,3031,1.0
4052,3031,1.0
4053,3031,1.0
4054,3031,1.0
4055,3031,1.0
4056,3031,1.0
4057,3031,1.0
4058,3031,1.0
4059,3031,1.0
4060,3031,1.0
4061,3031,1.0
4062,3031,1.0
4063,3031,1.0
4064,3031,1.0
4065,3031,1.0
4066,3031,1.0
4067,3031,1.0
4068,3031,1.0
4069,3031,1.0
4070,3031,1.0
