building_1,location_1,location_2,building_2,assignment
1001,2007,3007,4001,1.0
1001,2007,3007,4002,1.0
1001,2007,3007,4003,1.0
1001,2007,3007,4004,1.0
1001,2007,3007,4005,1.0
1001,2007,3007,4006,1.0
1001,2007,3007,4007,1.0
1002,2007,3007,4001,1.0
1002,2007,3007,4002,1.0
1002,2007,3007,4003,1.0
1002,2007,3007,4004,1.0
1002,2007,3007,4005,1.0
1002,2007,3007,4006,1.0
1002,2007,3007,4007,1.0
1003,2007,3007,4001,1.0
1003,2007,3007,4002,1.0
1003,2007,3007,4003,1.0
1003,2007,3007,4004,1.0
1003,2007,3007,4005,1.0
1003,2007,3007,4006,1.0
1003,2007,3007,4007,1.0
1004,2007,3007,4001,1.0
1004,2007,3007,4002,1.0
1004,2007,3007,4003,1.0
1004,2007,3007,4004,1.0
1004,2007,3007,4005,1.0
1004,2007,3007,4006,1.0
1004,2007,3007,4007,1.0
1005,2007,3007,4001,1.0
1005,2007,3007,4002,1.0
1005,2007,3007,4003,1.0
1005,2007,3007,4004,1.0
1005,2007,3007,4005,1.0
1005,2007,3007,4006,1.0
1005,2007,3007,4007,1.0
1006,2007,3007,4001,1.0
1006,2007,3007,4002,1.0
1006,2007,3007,4003,1.0
1006,2007,3007,4004,1.0
1006,2007,3007,4005,1.0
1006,2007,3007,4006,1.0
1006,2007,3007,4007,1.0
1007,2007,3007,4001,1.0
1007,2007,3007,4002,1.0
1007,2007,3007,4003,1.0
1007,2007,3007,4004,1.0
1007,2007,3007,4005,1.0
1007,2007,3007,4006,1.0
1007,2007,3007,4007,1.0
