building_1,location_1,assignment
1001,2005,1.0
1002,2005,1.0
1003,2005,1.0
1004,2005,1.0
1005,2005,1.0
1006,2005,1.0
1007,2005,1.0
1008,2005,1.0
1009,2005,1.0
1010,2005,1.0
1011,2005,1.0
1012,2005,1.0
1013,2005,1.0
1014,2005,1.0
1015,2005,1.0
1016,2005,1.0
1017,2005,1.0
1018,2005,1.0
1019,2005,1.0
1020,2005,1.0
1021,2005,1.0
1022,2005,1.0
1023,2005,1.0
1024,2005,1.0
1025,2005,1.0
1026,2005,1.0
1027,2005,1.0
1028,2005,1.0
1029,2005,1.0
1030,2005,1.0
1031,2005,1.0
1032,2005,1.0
1033,2005,1.0
1034,2005,1.0
1035,2005,1.0
1036,2005,1.0
1037,2005,1.0
1038,2005,1.0
1039,2005,1.0
1040,2005,1.0
