building_1,location_1,location_2,building_2,assignment
1001,2003,3001,4001,1.0
1001,2003,3001,4002,1.0
1001,2003,3001,4003,1.0
1001,2003,3001,4004,1.0
1001,2003,3001,4005,1.0
1001,2003,3001,4006,1.0
1002,2003,3001,4001,1.0
1002,2003,3001,4002,1.0
1002,2003,3001,4003,1.0
1002,2003,3001,4004,1.0
1002,2003,3001,4005,1.0
1002,2003,3001,4006,1.0
1003,2003,3001,4001,1.0
1003,2003,3001,4002,1.0
1003,2003,3001,4003,1.0
1003,2003,3001,4004,1.0
1003,2003,3001,4005,1.0
1003,2003,3001,4006,1.0
1004,2003,3001,4001,1.0
1004,2003,3001,4002,1.0
1004,2003,3001,4003,1.0
1004,2003,3001,4004,1.0
1004,2003,3001,4005,1.0
1004,2003,3001,4006,1.0
1005,2003,3001,4001,1.0
1005,2003,3001,4002,1.0
1005,2003,3001,4003,1.0
1005,2003,3001,4004,1.0
1005,2003,3001,4005,1.0
1005,2003,3001,4006,1.0
1006,2003,3001,4001,1.0
1006,2003,3001,4002,1.0
1006,2003,3001,4003,1.0
1006,2003,3001,4004,1.0
1006,2003,3001,4005,1.0
1006,2003,3001,4006,1.0
