building_1,location_1,location_2,building_2,assignment
1001,2001,3001,4001,1.0
1001,2001,3004,4005,1.0
1001,2001,3004,4006,1.0
1001,2001,3005,4002,1.0
1001,2001,3005,4003,1.0
1001,2001,3005,4004,1.0
1002,2005,3001,4001,1.0
1002,2005,3004,4005,1.0
1002,2005,3004,4006,1.0
1002,2005,3005,4002,1.0
1002,2005,3005,4003,1.0
1002,2005,3005,4004,1.0
1003,2005,3001,4001,1.0
1003,2005,3004,4005,1.0
1003,2005,3004,4006,1.0
1003,2005,3005,4002,1.0
1003,2005,3005,4003,1.0
1003,2005,3005,4004,1.0
1004,2005,3001,4001,1.0
1004,2005,3004,4005,1.0
1004,2005,3004,4006,1.0
1004,2005,3005,4002,1.0
1004,2005,3005,4003,1.0
1004,2005,3005,4004,1.0
1005,2001,3001,4001,1.0
1005,2001,3004,4005,1.0
1005,2001,3004,4006,1.0
1005,2001,3005,4002,1.0
1005,2001,3005,4003,1.0
1005,2001,3005,4004,1.0
1006,2004,3001,4001,1.0
1006,2004,3004,4005,1.0
1006,2004,3004,4006,1.0
1006,2004,3005,4002,1.0
1006,2004,3005,4003,1.0
1006,2004,3005,4004,1.0
