building_1,location_1,assignment
1001,2001,1.0
1002,2001,1.0
1003,2001,1.0
1004,2001,1.0
1005,2001,1.0
1006,2001,1.0
1007,2001,1.0
1008,2001,1.0
1009,2001,1.0
1010,2001,1.0
1011,2001,1.0
1012,2001,1.0
1013,2001,1.0
1014,2001,1.0
1015,2001,1.0
1016,2001,1.0
1017,2001,1.0
1018,2001,1.0
1019,2001,1.0
1020,2001,1.0
1021,2001,1.0
1022,2001,1.0
1023,2001,1.0
1024,2001,1.0
1025,2001,1.0
1026,2001,1.0
1027,2001,1.0
1028,2001,1.0
1029,2001,1.0
1030,2001,1.0
1031,2001,1.0
1032,2001,1.0
1033,2001,1.0
1034,2001,1.0
1035,2001,1.0
1036,2001,1.0
1037,2001,1.0
1038,2001,1.0
1039,2001,1.0
1040,2001,1.0
1041,2001,1.0
1042,2001,1.0
1043,2001,1.0
1044,2001,1.0
1045,2001,1.0
1046,2001,1.0
1047,2001,1.0
1048,2001,1.0
1049,2001,1.0
1050,2001,1.0
1051,2001,1.0
1052,2001,1.0
1053,2001,1.0
1054,2001,1.0
1055,2001,1.0
1056,2001,1.0
1057,2001,1.0
1058,2001,1.0
1059,2001,1.0
1060,2001,1.0
