building_2,location_2,assignment
4001,3011,1.0
4002,3011,1.0
4003,3011,1.0
4004,3011,1.0
4005,3011,1.0
4006,3011,1.0
4007,3011,1.0
4008,3011,1.0
4009,3011,1.0
4010,3011,1.0
4011,3011,1.0
4012,3011,1.0
4013,3011,1.0
4014,3011,1.0
4015,3011,1.0
4016,3011,1.0
4017,3011,1.0
4018,3011,1.0
4019,3011,1.0
4020,3011,1.0
4021,3011,1.0
4022,3011,1.0
4023,3011,1.0
4024,3011,1.0
4025,3011,1.0
4026,3011,1.0
4027,3011,1.0
4028,3011,1.0
4029,3011,1.0
4030,3011,1.0
4031,3011,1.0
4032,3011,1.0
4033,3011,1.0
4034,3011,1.0
4035,3011,1.0
4036,3011,1.0
4037,3011,1.0
4038,3011,1.0
4039,3011,1.0
4040,3011,1.0
