building_1,location_1,assignment
1001,2048,1.0
1002,2048,1.0
1003,2048,1.0
1004,2048,1.0
1005,2048,1.0
1006,2048,1.0
1007,2048,1.0
1008,2048,1.0
1009,2048,1.0
1010,2048,1.0
1011,2048,1.0
1012,2048,1.0
1013,2048,1.0
1014,2048,1.0
1015,2048,1.0
1016,2048,1.0
1017,2048,1.0
1018,2048,1.0
1019,2048,1.0
1020,2048,1.0
1021,2048,1.0
1022,2048,1.0
1023,2048,1.0
1024,2048,1.0
1025,2048,1.0
1026,2048,1.0
1027,2048,1.0
1028,2048,1.0
1029,2048,1.0
1030,2048,1.0
1031,2048,1.0
1032,2048,1.0
1033,2048,1.0
1034,2048,1.0
1035,2048,1.0
1036,2048,1.0
1037,2048,1.0
1038,2048,1.0
1039,2048,1.0
1040,2048,1.0
