building_2,location_2,assignment
4001,3048,1.0
4002,3048,1.0
4003,3048,1.0
4004,3048,1.0
4005,3048,1.0
4006,3048,1.0
4007,3048,1.0
4008,3048,1.0
4009,3048,1.0
4010,3048,1.0
4011,3048,1.0
4012,3048,1.0
4013,3048,1.0
4014,3048,1.0
4015,3048,1.0
4016,3048,1.0
4017,3048,1.0
4018,3048,1.0
4019,3048,1.0
4020,3048,1.0
4021,3048,1.0
4022,3048,1.0
4023,3048,1.0
4024,3048,1.0
4025,3048,1.0
4026,3048,1.0
4027,3048,1.0
4028,3048,1.0
4029,3048,1.0
4030,3048,1.0
4031,3048,1.0
4032,3048,1.0
4033,3048,1.0
4034,3048,1.0
4035,3048,1.0
4036,3048,1.0
4037,3048,1.0
4038,3048,1.0
4039,3048,1.0
4040,3048,1.0
