building_1,location_1,assignment
1001,2036,1.0
1002,2036,1.0
1003,2036,1.0
1004,2036,1.0
1005,2036,1.0
1006,2036,1.0
1007,2036,1.0
1008,2036,1.0
1009,2036,1.0
1010,2036,1.0
1011,2036,1.0
1012,2036,1.0
1013,2036,1.0
1014,2036,1.0
1015,2036,1.0
1016,2036,1.0
1017,2036,1.0
1018,2036,1.0
1019,2036,1.0
1020,2036,1.0
1021,2036,1.0
1022,2036,1.0
1023,2036,1.0
1024,2036,1.0
1025,2036,1.0
1026,2036,1.0
1027,2036,1.0
1028,2036,1.0
1029,2036,1.0
1030,2036,1.0
1031,2036,1.0
1032,2036,1.0
1033,2036,1.0
1034,2036,1.0
1035,2036,1.0
1036,2036,1.0
1037,2036,1.0
1038,2036,1.0
1039,2036,1.0
1040,2036,1.0
1041,2036,1.0
1042,2036,1.0
1043,2036,1.0
1044,2036,1.0
1045,2036,1.0
1046,2036,1.0
1047,2036,1.0
1048,2036,1.0
1049,2036,1.0
1050,2036,1.0
