building_1,location_1,assignment
1001,2034,1.0
1002,2034,1.0
1003,2034,1.0
1004,2034,1.0
1005,2034,1.0
1006,2034,1.0
1007,2034,1.0
1008,2034,1.0
1009,2034,1.0
1010,2034,1.0
1011,2034,1.0
1012,2034,1.0
1013,2034,1.0
1014,2034,1.0
1015,2034,1.0
1016,2034,1.0
1017,2034,1.0
1018,2034,1.0
1019,2034,1.0
1020,2034,1.0
1021,2034,1.0
1022,2034,1.0
1023,2034,1.0
1024,2034,1.0
1025,2034,1.0
1026,2034,1.0
1027,2034,1.0
1028,2034,1.0
1029,2034,1.0
1030,2034,1.0
1031,2034,1.0
1032,2034,1.0
1033,2034,1.0
1034,2034,1.0
1035,2034,1.0
1036,2034,1.0
1037,2034,1.0
1038,2034,1.0
1039,2034,1.0
1040,2034,1.0
1041,2034,1.0
1042,2034,1.0
1043,2034,1.0
1044,2034,1.0
1045,2034,1.0
1046,2034,1.0
1047,2034,1.0
1048,2034,1.0
1049,2034,1.0
1050,2034,1.0
